exp,vus,throughput_rps,lat_avg_ms,lat_p95_ms,lat_p99_ms,erro_rate,cpu_total_m,mem_total_mi,pods
E0,10,21.95,249.13,1503.94,1604.56,0.0000,362,137,4
E0,50,33.40,1242.80,2771.48,3387.34,0.0000,439,142,4
E0,100,34.51,2579.84,4104.97,4716.73,0.0000,530,145,4
E0,500,35.34,5672.58,16627.86,17937.48,0.0000,479,147,4
E0,1000,35.95,6138.53,21715.08,25674.56,0.1044,532,147,4
E2,10,21.89,247.54,1516.13,1586.06,0.0000,374,180,6
E2,50,34.76,1198.52,2604.84,2977.10,0.0000,496,183,6
E2,100,35.07,2544.16,4166.81,4911.25,0.0000,437,185,6
E2,500,33.43,6055.46,16831.33,18259.83,0.0000,516,188,6
E2,1000,40.73,5326.74,19266.22,21163.26,0.0962,558,188,6
E3,10,20.99,267.57,1516.17,1580.25,0.0000,359,196,6
E3,50,32.84,1279.14,2716.59,3076.76,0.0000,499,199,6
E3,100,33.68,2651.69,4212.51,5105.79,0.0000,540,202,6
E3,500,37.47,5251.76,14964.91,16267.94,0.0000,637,206,6
E3,1000,38.25,5785.64,21272.37,23507.84,0.0987,488,207,6
E4,10,21.38,259.79,1512.62,1603.17,0.0000,487,367,12
E4,50,49.72,777.22,2303.33,2789.06,0.0000,855,381,12
E4,100,53.91,1575.05,3510.32,4120.76,0.0000,896,384,12
E4,500,47.13,3659.08,11741.40,13785.52,0.0000,738,390,12
E4,1000,48.69,3387.08,12510.59,17933.83,0.0673,706,390,12
